set_id	term_name	observed_edges	lambda	p_value	log2_Anscombe_ratio	set_size	max_possible_edges
GO:0070531	BRCA1-A complex	3	0.00119897959183673	2.86921711094132e-10	1.58265983068683	3	3
GO:0070532	BRCA1-B complex	1	0.00392857142857143	0.00391319815012451	0.929716894777431	2	1
GO:0070533	BRCA1-C complex	3	0.00456632653061225	1.57967051170798e-08	1.57623179431397	3	3
GO:0070552	BRISC complex	1	0.000102040816326531	0.000102030405060708	0.937038300619098	2	1
GO:0070554	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex	1	0.000612244897959184	0.000611870283499898	0.936057809071585	2	1
GO:0070578	RISC-loading complex	4	0.00737244897959184	1.2236993353351e-10	1.75811626752102	4	6
GO:0070652	HAUS complex	28	0.0375	3.73635928550609e-70	3.05204123140991	8	28
GO:0070695	FHF complex	10	0.00584183673469388	1.26821837950923e-29	2.38388777703174	5	10
GO:0070701	mucus layer	0	0	1	0	1	0
GO:0070721	ISGF3 complex	0	0	1	0	1	0
GO:0070724	BMP receptor complex	2	0.010484693877551	5.45812199408541e-05	1.31159101547709	3	3
GO:0070743	interleukin-23 complex	1	0.000637755102040816	0.000637348629700446	0.936008819461022	2	1
GO:0070761	pre-snoRNP complex	6	0.00451530612244898	1.17173587547926e-17	2.0350976825634	4	6
GO:0070765	gamma-secretase complex	13	0.01875	5.58695508844693e-33	2.5430575788943	6	15
GO:0070776	MOZ/MORF histone acetyltransferase complex	10	0.00790816326530612	2.61552432601631e-28	2.3799845543644	5	10
GO:0070820	tertiary granule	0	0	1	0	1	0
GO:0070852	cell body fiber	1	0.0238775510204082	0.0235947377337488	0.89270689161897	6	15
GO:0070876	SOSS complex	3	0.000306122448979592	4.77970771086848e-12	1.58437388582073	3	3
GO:0070877	microprocessor complex	1	0.00280612244897959	0.00279827016026456	0.93185681617551	2	1
GO:0070937	CRD-mediated mRNA stability complex	6	0.00849489795918367	5.17520091807615e-16	2.02757302635535	4	6
GO:0070938	contractile ring	0	0.00438775510204082	1	-0.00839126015419634	6	15
GO:0070939	Dsl1/NZR complex	3	0.00438775510204082	1.4017491823885e-08	1.57657124056696	3	3
GO:0071001	U4/U6 snRNP	0	0	1	0	1	0
GO:0071006	U2-type catalytic step 1 spliceosome	0	0	1	0	1	0
GO:0071008	U2-type post-mRNA release spliceosomal complex	1	7.6530612244898e-05	7.65247557584879e-05	0.937087360198159	2	1
GO:0071014	post-mRNA release spliceosomal complex	0	0	1	0	1	0
GO:0071141	SMAD protein complex	3	0.00487244897959184	1.92089570456924e-08	1.57565025781991	4	6
GO:0071142	homomeric SMAD protein complex	0	0	1	0	1	0
GO:0071144	heteromeric SMAD protein complex	10	0.0163520408163265	3.70556973805945e-25	2.36425027899763	5	10
GO:0071159	NF-kappaB complex	1	0.000306122448979592	0.00030602876670407	0.936645944057646	2	1
GO:0071162	CMG complex	6	0.00420918367346939	7.69177800604433e-18	2.03567976653321	4	6
GO:0071193	Kv4.2-KChIP2 channel complex	1	0.000510204081632653	0.000509943906170321	0.936253800791427	2	1
GO:0071196	Kv4.3-KChIP1 channel complex	1	0.000510204081632653	0.000509943906170321	0.936253800791427	2	1
GO:0071204	histone pre-mRNA 3'end processing complex	3	0.00321428571428571	5.52147751759624e-09	1.57880587000173	4	6
GO:0071439	clathrin complex	2	0.0332397959183674	0.000540351229228152	1.27021939135398	6	15
GO:0071546	pi-body	10	0.0144387755102041	1.07112536075011e-25	2.36778549462269	7	21
GO:0071547	piP-body	6	0.00635204081632653	9.07366530481e-17	2.03161500822837	5	10
GO:0071595	Nem1-Spo7 phosphatase complex	1	2.55102040816327e-05	2.55095533277212e-05	0.937185489367191	2	1
GO:0071598	neuronal ribonucleoprotein granule	0	0.00323979591836735	1	-0.00620528330234949	5	10
GO:0071735	IgG immunoglobulin complex	0	0	1	0	1	0
GO:0071738	IgD immunoglobulin complex	0	0	1	0	1	0
GO:0071748	monomeric IgA immunoglobulin complex	0	0	1	0	1	0
GO:0071751	secretory IgA immunoglobulin complex	1	0.00038265306122449	0.000382506693867143	0.936498865349736	2	1
GO:0071752	secretory dimeric IgA immunoglobulin complex	0	0	1	0	1	0
GO:0071755	IgM B cell receptor complex	1	0.000816326530612245	0.000815660685154976	0.935665985313746	2	1
GO:0071756	pentameric IgM immunoglobulin complex	0	0	1	0	1	0
GO:0071797	LUBAC complex	6	0.00377551020408163	4.0075754783282e-18	2.03650519036693	4	6
GO:0071817	MMXD complex	6	0.0115561224489796	3.26980273917575e-15	2.02183777435453	4	6
GO:0071818	BAT3 complex	3	0.00397959183673469	1.04625134389789e-08	1.57734771805899	3	3
GO:0071821	FANCM-MHF complex	0	0	1	0	1	0
GO:0071914	prominosome	0	0	1	0	1	0
GO:0071920	cleavage body	0	0.00244897959183673	1	-0.00469552525645312	2	1
GO:0071953	elastic fiber	4	0.00625	6.32612226876322e-11	1.76023688713472	5	10
