set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0017154	12	GO:0060754	4	6	0.0650510204081633	9.95384555444188e-11	1.92834131721059	semaphorin receptor activity	positive regulation of mast cell chemotaxis
GO:0030195	7	GO:0050927	6	6	0.0651020408163265	1.00003422915672e-10	1.92825768756346	negative regulation of blood coagulation	positive regulation of positive chemotaxis
GO:0032232	3	GO:0042043	12	6	0.0653061224489796	1.01881365213689e-10	1.92792326589756	negative regulation of actin filament bundle assembly	neurexin family protein binding
GO:0071028	5	GO:0071035	3	6	0.0653061224489796	1.01881365213689e-10	1.92792326589756	nuclear mRNA surveillance	nuclear polyadenylation-dependent rRNA catabolic process
GO:0071028	5	GO:0071038	3	6	0.0653061224489796	1.01881365213689e-10	1.92792326589756	nuclear mRNA surveillance	TRAMP-dependent tRNA surveillance pathway
GO:0001823	9	GO:0048263	5	6	0.0654336734693878	1.03069876399968e-10	1.92771433106034	mesonephros development	determination of dorsal identity
GO:0032374	6	GO:0034370	3	6	0.0654336734693878	1.03069876399968e-10	1.92771433106034	regulation of cholesterol transport	triglyceride-rich lipoprotein particle remodeling
GO:0030072	4	GO:0090522	9	6	0.0657142857142857	1.05725160972316e-10	1.9272548873272	peptide hormone secretion	vesicle tethering involved in exocytosis
GO:0006000	7	GO:0010659	8	6	0.0658928571428571	1.07444266366323e-10	1.92696266633052	fructose metabolic process	cardiac muscle cell apoptotic process
GO:0008611	6	GO:1990429	3	6	0.0658928571428571	1.07444266366323e-10	1.92696266633052	ether lipid biosynthetic process	peroxisomal importomer complex
GO:0086012	9	GO:1904117	6	6	0.0659183673469388	1.07691736213404e-10	1.92692093013585	membrane depolarization during cardiac muscle cell action potential	cellular response to vasopressin
GO:0034382	4	GO:1905920	5	6	0.0659438775510204	1.07939679049222e-10	1.92687919635583	chylomicron remnant clearance	positive regulation of CoA-transferase activity
GO:0016015	6	GO:0042813	12	10	0.342857142857143	4.53088282169445e-12	1.92663537855648	morphogen activity	Wnt receptor activity
GO:0006682	4	GO:0008417	9	6	0.0662244897959184	1.10698473445515e-10	1.92642028406339	galactosylceramide biosynthetic process	fucosyltransferase activity
GO:0008378	6	GO:0008417	9	7	0.135459183673469	1.47503343665681e-10	1.92638776822934	galactosyltransferase activity	fucosyltransferase activity
GO:0016081	8	GO:0031630	7	6	0.0663265306122449	1.11716070445976e-10	1.92625347922499	synaptic vesicle docking	regulation of synaptic vesicle fusion to presynaptic active zone membrane
GO:0097527	3	GO:1904903	8	6	0.0663265306122449	1.11716070445976e-10	1.92625347922499	necroptotic signaling pathway	ESCRT III complex disassembly
GO:0051264	3	GO:0052650	7	6	0.0663265306122449	1.11716070445976e-10	1.92625347922499	mono-olein transacylation activity	all-trans-retinol dehydrogenase (NADP+) activity
GO:0051265	3	GO:0052650	7	6	0.0663265306122449	1.11716070445976e-10	1.92625347922499	diolein transacylation activity	all-trans-retinol dehydrogenase (NADP+) activity
GO:0047144	6	GO:1900015	5	6	0.0664285714285714	1.12741420661961e-10	1.92608671294972	2-acylglycerol-3-phosphate O-acyltransferase activity	regulation of cytokine production involved in inflammatory response
GO:0034058	11	GO:0043589	8	8	0.204948979591837	6.43603077323846e-11	1.92604564955892	endosomal vesicle fusion	skin morphogenesis
GO:0021978	5	GO:0048263	5	6	0.0665816326530612	1.14294085839303e-10	1.92583663580371	telencephalon regionalization	determination of dorsal identity
GO:0050891	8	GO:0061337	6	6	0.0665816326530612	1.14294085839303e-10	1.92583663580371	multicellular organismal-level water homeostasis	cardiac conduction
GO:0044284	8	GO:0099558	6	6	0.0665816326530612	1.14294085839303e-10	1.92583663580371	mitochondrial crista junction	maintenance of synapse structure
GO:0002116	12	GO:0060385	5	6	0.0665816326530612	1.14294085839303e-10	1.92583663580371	semaphorin receptor complex	axonogenesis involved in innervation
GO:0006164	9	GO:0006760	4	6	0.0667857142857143	1.16391881492234e-10	1.92550333441373	purine nucleotide biosynthetic process	folic acid-containing compound metabolic process
GO:0019346	5	GO:0046500	3	6	0.0667857142857143	1.16391881492234e-10	1.92550333441373	transsulfuration	S-adenosylmethionine metabolic process
GO:0009435	9	GO:0034983	5	6	0.0668877551020408	1.17452704157674e-10	1.92533674145215	NAD biosynthetic process	peptidyl-lysine deacetylation
