set_size	observed_edges	count_in_group	min_lambda	set_id_at_min	term_at_min	pval_at_min	log2AR_at_min	max_lambda	set_id_at_max	term_at_max	pval_at_max	log2AR_at_max	lambda_ratio
11	6	2	0.0891326530612245	GO:0098797	plasma membrane protein complex	6.45260663734013e-10	1.88990811902643	0.175178571428571	GO:0001878	response to yeast	3.45498119046383e-08	1.76722674338224	1.96536920435031
9	24	3	0.0291071428571429	GO:0036444	calcium import into the mitochondrion	2.14362607234773e-61	2.95726027815752	0.0561734693877551	GO:0001867	complement activation, lectin pathway	1.48807661284695e-54	2.91049499927173	1.92988606485539
12	55	3	0.208469387755102	GO:0001401	SAM complex	2.26322551324234e-111	3.28421700890693	0.402142857142857	GO:0000177	cytoplasmic exosome (RNase complex)	9.24102605856421e-96	3.0774555795685	1.9290259422418
9	15	3	0.0521173469387755	GO:0009435	NAD biosynthetic process	4.14016152882613e-32	2.58490505372884	0.0990051020408163	GO:0033700	phospholipid efflux	5.99875811700254e-28	2.50977000615346	1.89965736661772
9	28	3	0.0681632653061225	GO:0051036	regulation of endosome size	6.70948196005689e-63	3.00031914186348	0.123673469387755	GO:1990454	L-type voltage-gated calcium channel complex	1.11621408046086e-55	2.91519056596709	1.81437125748503
9	29	3	0.0474489795918367	GO:0000301	retrograde transport, vesicle recycling within Golgi	4.4067781912005e-70	3.05983396403412	0.0838265306122449	GO:0050953	sensory perception of light stimulus	6.25653894607728e-63	3.00024811354528	1.76666666666667
8	25	2	0.0880612244897959	GO:0036396	RNA N6-methyladenosine methyltransferase complex	2.46718133750274e-52	2.88803052870139	0.153010204081633	GO:0061702	canonical inflammasome complex	2.30927421809481e-46	2.79334910068028	1.73754345307069
7	18	3	0.0335459183673469	GO:0016272	prefoldin complex	4.3789693570464e-43	2.74555110053213	0.0551020408163265	GO:0005742	mitochondrial outer membrane translocase complex	3.25093232419113e-39	2.70846073144843	1.6425855513308
9	25	2	0.0623214285714286	GO:0048034	heme O biosynthetic process	4.45928899302925e-56	2.92928498522676	0.0992091836734694	GO:0000931	gamma-tubulin ring complex	4.805353162642e-51	2.8708702046644	1.59189521080639
10	12	2	0.038469387755102	GO:0002752	cell surface pattern recognition receptor signaling pathway	2.11653803158702e-26	2.4517520975842	0.0589795918367347	GO:0016559	peroxisome fission	3.5030300595328e-24	2.41682875717189	1.53315649867374
11	23	2	0.0539030612244898	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	2.46706775866789e-52	2.88408547088406	0.0789030612244898	GO:0051984	positive regulation of chromosome segregation	1.54108640002668e-48	2.84321916830302	1.46379555134879
12	12	2	0.067219387755102	GO:0042987	amyloid precursor protein catabolic process	1.66976464844471e-23	2.40326121893967	0.0983163265306122	GO:0051011	microtubule minus-end binding	1.55513351991062e-21	2.35424001391999	1.46261859582543
12	4	2	0.0385204081632653	GO:0034638	phosphatidylcholine catabolic process	8.89564677863199e-08	1.701626290215	0.0555867346938776	GO:0055119	relaxation of cardiac muscle	3.80520931017658e-07	1.67245361874389	1.4430463576159
13	38	2	0.117602040816327	GO:0001518	voltage-gated sodium channel complex	8.08130871545744e-81	3.14180016771105	0.159540816326531	GO:0030897	HOPS complex	8.37723460386143e-76	3.08286141358935	1.35661605206074
11	45	3	0.115484693877551	GO:0045050	protein insertion into ER membrane by stop-transfer membrane-anchor sequence	4.8609889591331e-99	3.26577285832276	0.154897959183673	GO:0032797	SMN complex	2.56116705351058e-93	3.21001963089894	1.34128561961564
10	29	2	0.108494897959184	GO:0072384	organelle transport along microtubule	1.08339265371632e-59	2.96247218779634	0.141683673469388	GO:0000813	ESCRT I complex	2.41134199854e-56	2.91458187212609	1.30590171643546
11	27	3	0.120586734693878	GO:0034058	endosomal vesicle fusion	1.28117551444962e-53	2.89378879146252	0.154362244897959	GO:0030123	AP-3 adaptor complex	9.74963281528648e-51	2.84622992584278	1.2800930822932
11	29	2	0.126964285714286	GO:1990907	beta-catenin-TCF complex	1.01608156701921e-57	2.93543016000849	0.15	GO:0045040	protein insertion into mitochondrial outer membrane	1.25066237825976e-55	2.9030638093368	1.18143459915612
9	34	3	0.101811224489796	GO:0061617	MICOS complex	5.64854838571273e-73	3.08589885249424	0.118698979591837	GO:0031209	SCAR complex	1.02555228270323e-70	3.06079212003516	1.16587321473315
9	21	2	0.0484948979591837	GO:0044666	MLL3/4 complex	4.68997312745145e-48	2.82871801046601	0.05625	GO:0045039	protein insertion into mitochondrial inner membrane	1.04932929169521e-46	2.81562807649755	1.1599158337717
11	14	2	0.0533163265306123	GO:0006182	cGMP biosynthetic process	1.63691375992713e-29	2.53437073750496	0.0603826530612245	GO:0007168	receptor guanylyl cyclase signaling pathway	9.28730717151288e-29	2.5225671092092	1.13253588516746
11	28	2	0.0779336734693878	GO:0015269	calcium-activated potassium channel activity	2.82804112131848e-61	2.98458839063626	0.0846683673469388	GO:0098574	cytoplasmic side of lysosomal membrane	2.86121873446944e-60	2.97394159673478	1.08641571194763
9	16	2	0.0300765306122449	GO:0140627	ubiquitin-dependent protein catabolic process via the C-end degron rule pathway	2.08320066729726e-38	2.66857829803568	0.0314795918367347	GO:0031838	haptoglobin-hemoglobin complex	4.31498548638089e-38	2.66608408792332	1.04664970313825
11	10	2	0.0281632653061225	GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential	8.43235710819393e-23	2.34280166712959	0.0281632653061225	GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential	8.43235710819393e-23	2.34280166712959	1
8	20	2	0.165637755102041	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity	8.48329119929387e-35	2.61799699200755	0.165637755102041	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity	8.48329119929387e-35	2.61799699200755	1
13	73	3	0.264515306122449	GO:0005940	septin ring	1.18923524401199e-148	3.4210829495487	0.264515306122449	GO:0005940	septin ring	1.18923524401199e-148	3.4210829495487	1
6	11	2	0.0629336734693878	GO:0017083	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity	1.45047134658883e-21	2.34950517487026	0.0629336734693878	GO:0017083	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity	1.45047134658883e-21	2.34950517487026	1
