threshold	order	size
688	16242	244204
689	16226	243297
690	16212	242252
691	16160	241255
692	16127	240290
693	16103	239366
694	16086	238435
695	16072	237536
696	16043	236604
697	16020	235705
698	15989	234705
699	15970	233799
700	15953	232903
701	15937	231984
702	15920	231028
703	15908	230143
704	15891	229263
705	15881	228424
706	15867	227598
707	15849	226733
708	15835	225950
709	15822	225115
710	15809	224275
711	15797	223444
712	15777	222574
713	15764	221688
714	15747	220840
715	15729	220069
716	15714	219171
717	15696	218256
718	15684	217385
719	15668	216521
720	15654	215741
721	15627	214250
722	15611	213484
723	15596	212641
724	15581	211845
725	15568	211025
726	15555	210186
727	15537	209312
728	15530	208447
729	15516	207560
730	15495	206799
731	15484	206048
732	15462	205265
733	15450	204531
734	15440	203775
735	15426	202978
736	15406	202219
737	15397	201525
738	15373	200743
739	15359	200013
740	15347	199284
741	15334	198603
742	15321	197882
743	15304	197186
744	15293	196477
745	15284	195779
746	15271	195091
747	15256	194374
748	15246	193703
749	15228	192980
750	15217	192327
751	15203	191579
752	15180	190916
753	15163	190188
754	15150	189538
755	15138	188861
756	15129	188177
757	15114	187485
758	15099	186825
759	15076	186172
760	15056	185531
761	15047	184890
762	15026	184198
763	15012	183504
764	14995	182838
765	14974	182235
766	14963	181571
767	14948	180902
768	14932	180258
769	14917	179610
770	14898	178920
771	14870	178219
772	14854	177531
773	14836	176848
774	14824	176143
775	14803	175416
776	14784	174778
777	14760	174097
778	14731	173449
779	14713	172825
780	14687	172186
781	14669	171549
782	14642	170885
783	14616	170229
784	14598	169547
785	14576	168899
786	14551	168229
787	14529	167465
788	14511	166867
789	14498	166251
790	14475	165674
791	14448	165063
792	14420	164423
793	14398	163778
794	14380	163196
795	14359	162603
796	14336	161992
797	14318	161412
798	14309	160844
799	14289	160261
800	14277	159656
801	14261	158214
802	14240	157340
803	14219	156553
804	14202	155803
805	14186	155105
806	14171	154235
807	14147	153415
808	14123	152690
809	14103	151914
810	14091	151189
811	14066	150480
812	14055	149740
813	14035	148991
814	14014	148300
815	14002	147649
816	13977	146986
817	13960	146263
818	13936	145492
819	13917	144816
820	13904	144102
821	13883	143345
822	13860	142663
823	13837	142005
824	13824	141318
825	13811	140636
826	13778	139973
827	13759	139366
828	13738	138701
829	13723	138014
830	13700	137297
831	13687	136704
832	13658	136051
